Ti.TiO2 (100%)/1	
θ/2θ, °	Intensity, cps
10.2399997711182	473.333343505859
10.25	346.666656494141
10.2600002288818	346.666656494141
10.2700004577637	413.333343505859
10.2799997329712	386.666656494141
10.289999961853	413.333343505859
10.3000001907349	406.666656494141
10.3100004196167	433.333343505859
10.3199996948242	326.666656494141
10.3299999237061	306.666656494141
10.3400001525879	413.333343505859
10.3500003814697	493.333343505859
10.3599996566772	386.666656494141
10.3699998855591	366.666656494141
10.3800001144409	320
10.3900003433228	313.333343505859
10.3999996185303	393.333343505859
10.4099998474121	366.666656494141
10.4200000762939	340
10.4300003051758	293.333343505859
10.4399995803833	373.333343505859
10.4499998092651	366.666656494141
10.460000038147	393.333343505859
10.4700002670288	360
10.4799995422363	360
10.4899997711182	433.333343505859
10.5	320
10.5100002288818	433.333343505859
10.5200004577637	373.333343505859
10.5299997329712	380
10.539999961853	386.666656494141
10.5500001907349	340
10.5600004196167	353.333343505859
10.5699996948242	366.666656494141
10.5799999237061	346.666656494141
10.5900001525879	406.666656494141
10.6000003814697	313.333343505859
10.6099996566772	373.333343505859
10.6199998855591	446.666656494141
10.6300001144409	400
10.6400003433228	346.666656494141
10.6499996185303	333.333343505859
10.6599998474121	453.333343505859
10.6700000762939	406.666656494141
10.6800003051758	346.666656494141
10.6899995803833	340
10.6999998092651	340
10.710000038147	380
10.7200002670288	380
10.7299995422363	293.333343505859
10.7399997711182	400
10.75	353.333343505859
10.7600002288818	293.333343505859
10.7700004577637	326.666656494141
10.7799997329712	313.333343505859
10.789999961853	273.333343505859
10.8000001907349	326.666656494141
10.8100004196167	333.333343505859
10.8199996948242	360
10.8299999237061	320
10.8400001525879	373.333343505859
10.8500003814697	306.666656494141
10.8599996566772	320
10.8699998855591	413.333343505859
10.8800001144409	360
10.8900003433228	373.333343505859
10.8999996185303	366.666656494141
10.9099998474121	340
10.9200000762939	306.666656494141
10.9300003051758	360
10.9399995803833	340
10.9499998092651	293.333343505859
10.960000038147	326.666656494141
10.9700002670288	326.666656494141
10.9799995422363	433.333343505859
10.9899997711182	346.666656494141
11	400
11.0100002288818	306.666656494141
11.0200004577637	406.666656494141
