Ti.TiO2-IrO2 (80.20)/1	
θ/2θ, °	Intensity, cps
12.2200002670288	420
12.2299995422363	466.666656494141
12.2399997711182	360
12.25	433.333343505859
12.2600002288818	373.333343505859
12.2700004577637	420
12.2799997329712	473.333343505859
12.289999961853	400
12.3000001907349	306.666656494141
12.3100004196167	326.666656494141
12.3199996948242	500
12.3299999237061	373.333343505859
12.3400001525879	420
12.3500003814697	420
12.3599996566772	346.666656494141
12.3699998855591	326.666656494141
12.3800001144409	460
12.3900003433228	413.333343505859
12.3999996185303	420
12.4099998474121	380
12.4200000762939	400
12.4300003051758	453.333343505859
12.4399995803833	440
12.4499998092651	373.333343505859
12.460000038147	453.333343505859
12.4700002670288	413.333343505859
12.4799995422363	460
12.4899997711182	486.666656494141
12.5	393.333343505859
12.5100002288818	326.666656494141
12.5200004577637	420
12.5299997329712	420
12.539999961853	326.666656494141
12.5500001907349	393.333343505859
12.5600004196167	386.666656494141
12.5699996948242	353.333343505859
12.5799999237061	346.666656494141
12.5900001525879	326.666656494141
12.6000003814697	353.333343505859
12.6099996566772	453.333343505859
12.6199998855591	486.666656494141
12.6300001144409	433.333343505859
12.6400003433228	260
12.6499996185303	406.666656494141
12.6599998474121	353.333343505859
12.6700000762939	406.666656494141
12.6800003051758	440
12.6899995803833	386.666656494141
12.6999998092651	473.333343505859
12.710000038147	433.333343505859
12.7200002670288	393.333343505859
12.7299995422363	373.333343505859
12.7399997711182	366.666656494141
12.75	420
12.7600002288818	446.666656494141
12.7700004577637	453.333343505859
12.7799997329712	306.666656494141
12.789999961853	400
12.8000001907349	360
12.8100004196167	353.333343505859
12.8199996948242	526.666687011719
12.8299999237061	486.666656494141
12.8400001525879	366.666656494141
12.8500003814697	380
12.8599996566772	320
12.8699998855591	326.666656494141
12.8800001144409	346.666656494141
12.8900003433228	366.666656494141
12.8999996185303	320
12.9099998474121	400
12.9200000762939	453.333343505859
12.9300003051758	386.666656494141
12.9399995803833	386.666656494141
12.9499998092651	393.333343505859
12.960000038147	366.666656494141
12.9700002670288	366.666656494141
12.9799995422363	340
12.9899997711182	473.333343505859
13	366.666656494141
13.0100002288818	400
13.0200004577637	406.666656494141
13.0299997329712	366.666656494141
13.039999961853	306.666656494141
13.0500001907349	440
13.0600004196167	393.333343505859
13.0699996948242	373.333343505859
13.0799999237061	340
13.0900001525879	446.666656494141
13.1000003814697	333.333343505859
13.1099996566772	353.333343505859
13.1199998855591	366.666656494141
13.1300001144409	373.333343505859
13.1400003433228	373.333343505859
13.1499996185303	340
13.1599998474121	260
13.1700000762939	366.666656494141
13.1800003051758	433.333343505859
13.1899995803833	373.333343505859
13.1999998092651	453.333343505859
13.210000038147	340
13.2200002670288	480
13.2299995422363	406.666656494141
13.2399997711182	393.333343505859
13.25	413.333343505859
13.2600002288818	273.333343505859
13.2700004577637	353.333343505859
13.2799997329712	360
13.289999961853	373.333343505859
13.3000001907349	406.666656494141
13.3100004196167	353.333343505859
13.3199996948242	280
13.3299999237061	420
13.3400001525879	380
13.3500003814697	386.666656494141
13.3599996566772	340
13.3699998855591	313.333343505859
13.3800001144409	340
13.3900003433228	353.333343505859
13.3999996185303	400
13.4099998474121	400
13.4200000762939	360
13.4300003051758	353.333343505859
13.4399995803833	453.333343505859
13.4499998092651	440
13.460000038147	446.666656494141
13.4700002670288	326.666656494141
13.4799995422363	406.666656494141
13.4899997711182	300
13.5	406.666656494141
13.5100002288818	353.333343505859
13.5200004577637	360
13.5299997329712	440
13.539999961853	413.333343505859
13.5500001907349	360
13.5600004196167	373.333343505859
13.5699996948242	273.333343505859
13.5799999237061	333.333343505859
13.5900001525879	440
13.6000003814697	360
13.6099996566772	433.333343505859
13.6199998855591	380
13.6300001144409	373.333343505859
13.6400003433228	280
13.6499996185303	373.333343505859
13.6599998474121	420
13.6700000762939	346.666656494141
13.6800003051758	366.666656494141
13.6899995803833	313.333343505859
13.6999998092651	360
13.710000038147	460
13.7200002670288	453.333343505859
13.7299995422363	393.333343505859
13.7399997711182	340
13.75	353.333343505859
13.7600002288818	393.333343505859
13.7700004577637	353.333343505859
13.7799997329712	446.666656494141
13.789999961853	326.666656494141
13.8000001907349	346.666656494141
13.8100004196167	320
13.8199996948242	433.333343505859
13.8299999237061	393.333343505859
13.8400001525879	366.666656494141
13.8500003814697	266.666656494141
13.8599996566772	406.666656494141
13.8699998855591	313.333343505859
13.8800001144409	393.333343505859
13.8900003433228	373.333343505859
13.8999996185303	386.666656494141
13.9099998474121	440
13.9200000762939	320
13.9300003051758	326.666656494141
