Ti.IrO2 (100%)/1	
θ/2θ, °	Intensity, cps
12.789999961853	506.666656494141
12.8000001907349	446.666656494141
12.8100004196167	466.666656494141
12.8199996948242	353.333343505859
12.8299999237061	413.333343505859
12.8400001525879	493.333343505859
12.8500003814697	453.333343505859
12.8599996566772	513.333312988281
12.8699998855591	460
12.8800001144409	446.666656494141
12.8900003433228	480
12.8999996185303	473.333343505859
12.9099998474121	466.666656494141
12.9200000762939	460
12.9300003051758	466.666656494141
12.9399995803833	460
12.9499998092651	453.333343505859
12.960000038147	420
12.9700002670288	473.333343505859
12.9799995422363	446.666656494141
12.9899997711182	393.333343505859
13	446.666656494141
13.0100002288818	480
13.0200004577637	440
13.0299997329712	446.666656494141
13.039999961853	460
13.0500001907349	340
13.0600004196167	406.666656494141
13.0699996948242	553.333312988281
13.0799999237061	406.666656494141
13.0900001525879	413.333343505859
13.1000003814697	380
13.1099996566772	306.666656494141
13.1199998855591	400
13.1300001144409	420
13.1400003433228	486.666656494141
13.1499996185303	433.333343505859
13.1599998474121	400
13.1700000762939	393.333343505859
13.1800003051758	486.666656494141
13.1899995803833	506.666656494141
13.1999998092651	493.333343505859
13.210000038147	453.333343505859
13.2200002670288	413.333343505859
13.2299995422363	406.666656494141
13.2399997711182	480
13.25	453.333343505859
13.2600002288818	593.333312988281
13.2700004577637	393.333343505859
13.2799997329712	500
13.289999961853	393.333343505859
13.3000001907349	420
13.3100004196167	413.333343505859
13.3199996948242	386.666656494141
13.3299999237061	446.666656494141
13.3400001525879	433.333343505859
13.3500003814697	433.333343505859
13.3599996566772	440
13.3699998855591	460
13.3800001144409	360
13.3900003433228	466.666656494141
13.3999996185303	540
13.4099998474121	460
13.4200000762939	460
13.4300003051758	440
13.4399995803833	360
13.4499998092651	473.333343505859
13.460000038147	386.666656494141
13.4700002670288	566.666687011719
13.4799995422363	473.333343505859
13.4899997711182	433.333343505859
13.5	480
13.5100002288818	506.666656494141
13.5200004577637	433.333343505859
13.5299997329712	413.333343505859
13.539999961853	360
13.5500001907349	540
13.5600004196167	446.666656494141
13.5699996948242	526.666687011719
13.5799999237061	500
13.5900001525879	493.333343505859
13.6000003814697	473.333343505859
13.6099996566772	366.666656494141
13.6199998855591	400
13.6300001144409	360
13.6400003433228	433.333343505859
13.6499996185303	486.666656494141
13.6599998474121	520
13.6700000762939	373.333343505859
13.6800003051758	453.333343505859
13.6899995803833	420
13.6999998092651	380
13.710000038147	466.666656494141
13.7200002670288	446.666656494141
13.7299995422363	460
13.7399997711182	346.666656494141
13.75	400
13.7600002288818	466.666656494141
13.7700004577637	380
13.7799997329712	466.666656494141
13.789999961853	466.666656494141
13.8000001907349	506.666656494141
13.8100004196167	400
13.8199996948242	353.333343505859
13.8299999237061	400
13.8400001525879	386.666656494141
13.8500003814697	400
13.8599996566772	453.333343505859
13.8699998855591	446.666656494141
13.8800001144409	460
13.8900003433228	373.333343505859
13.8999996185303	406.666656494141
13.9099998474121	400
13.9200000762939	413.333343505859
13.9300003051758	400
13.9399995803833	373.333343505859
13.9499998092651	326.666656494141
13.960000038147	320
13.9700002670288	366.666656494141
13.9799995422363	460
13.9899997711182	453.333343505859
14	466.666656494141
14.0100002288818	406.666656494141
14.0200004577637	446.666656494141
14.0299997329712	360
14.039999961853	420
14.0500001907349	440
14.0600004196167	540
14.0699996948242	420
14.0799999237061	446.666656494141
14.0900001525879	493.333343505859
14.1000003814697	433.333343505859
14.1099996566772	460
14.1199998855591	473.333343505859
14.1300001144409	413.333343505859
14.1400003433228	406.666656494141
14.1499996185303	466.666656494141
14.1599998474121	433.333343505859
14.1700000762939	346.666656494141
14.1800003051758	346.666656494141
14.1899995803833	380
14.1999998092651	466.666656494141
14.210000038147	446.666656494141
14.2200002670288	433.333343505859
14.2299995422363	373.333343505859
14.2399997711182	353.333343505859
14.25	393.333343505859
14.2600002288818	340
14.2700004577637	386.666656494141
14.2799997329712	386.666656494141
14.289999961853	393.333343505859
14.3000001907349	333.333343505859
14.3100004196167	446.666656494141
